kid,topic,subtopic,title,content,keywords
k-9fd33826b85b,安全对齐与提示词防护,越狱攻击,越狱攻击原理与防御手段,越狱攻击指通过特定指令绕过模型安全限制，获取禁止内容。常见手法包括角色扮演、多语言混淆及逻辑陷阱。防御需强化模型对系统指令的遵循度，限制模型输出特定敏感类别。采用红队测试模拟攻击，发现潜在漏洞并修补。在推理阶段，对输出进行实时安全扫描，若检测到违规内容则立即终止生成，防止有害信息扩散至用户端。,越狱攻击; 角色扮演; 红队测试; 安全限制; 实时扫描
k-157d9d0691c4,安全对齐与提示词防护,幻觉检测,幻觉率降低与验证模型应用,降低幻觉率需结合生成式与判别式方法。生成阶段采用温度参数调节，降低随机性；判别阶段引入独立验证模型，对关键事实进行二次确认。对于复杂任务，可要求模型展示推理过程，通过思维链分析逻辑漏洞。若检测到事实冲突，应提示用户核实或拒绝回答。建立事实核查数据库，将高频错误案例纳入训练集，逐步提升模型事实准确性。,幻觉率; 温度参数; 思维链; 验证模型; 训练集
k-30c3b111c786,安全对齐与提示词防护,敏感数据过滤,双向敏感数据过滤与审计,敏感数据过滤需覆盖输入与输出双向通道。输入端防止隐私数据进入模型训练或推理上下文，输出端防止敏感信息被模型复述。技术实现上，可采用本地化部署的敏感词引擎，减少网络传输延迟。对于高敏感场景，建议采用私有化模型部署，切断外部数据泄露路径。定期审计数据访问日志，确保过滤策略有效执行，防止数据违规留存。,双向过滤; 私有化部署; 敏感词引擎; 数据审计; 上下文隔离
k-ab8caba21cea,后端工程与接口设计,RESTful API 设计,RESTful API 资源命名规范,RESTful 架构风格强调资源导向，URI 应使用名词复数表示资源集合，避免使用动词。例如 /users 而非 /getUsers。HTTP 方法需语义明确，GET 用于查询，POST 用于创建，PUT 用于全量更新，PATCH 用于局部更新。响应状态码应准确反映操作结果，200 表示成功，201 表示创建成功，404 表示资源不存在，400 表示请求参数错误。API 版本控制建议通过 URI 路径或 Header 实现，如 /v1/users。统一错误响应格式有助于前端解析与日志追踪，确保接口文档与实际实现一致，减少联调成本。,RESTful; 资源命名; HTTP 动词; URI 结构; 版本控制
k-1244a130dc55,后端工程与接口设计,RESTful API 设计,接口幂等性设计与实现,幂等性指多次请求产生相同结果，对网络重试至关重要。POST 请求默认非幂等，需通过业务唯一 ID 或 Token 机制保证。PUT 和 DELETE 通常设计为幂等。实现方案包括数据库唯一索引、乐观锁版本号校验或分布式锁。例如支付接口需防止重复扣款，应在请求头携带唯一流水号，服务端校验后处理。若未携带则返回错误。缓存层也可用于幂等控制，设置过期时间。设计时需明确哪些接口必须幂等，避免过度设计影响性能，确保高并发场景下数据一致性。,幂等性; 重复请求; Token; 乐观锁; 分布式锁
k-f226a69433e9,后端工程与接口设计,鉴权与限流,JWT 令牌安全机制,JSON Web Token 是无状态认证标准，包含头、载荷和签名。服务端使用私钥签名，客户端携带 Token 请求，服务端验签即可。Token 应设置合理过期时间，通常短效访问令牌配合长效刷新令牌使用。为应对密钥泄露，需实现令牌黑名单机制，将已注销 Token 存入 Redis。签名算法推荐 RS256 而非 HS256，防止公钥泄露风险。Token 中避免存储敏感信息，载荷仅存必要用户标识。传输过程必须使用 HTTPS 加密，防止中间人攻击窃取凭证，确保用户会话安全。,JWT; 签名; 过期时间; 刷新令牌; 黑名单
k-51375aa6d4a5,后端工程与接口设计,鉴权与限流,接口限流策略与算法,限流保护后端服务不被突发流量冲垮。常见算法包括令牌桶和漏桶。令牌桶允许一定程度的突发流量，设定平均速率和最大容量。漏桶强制恒定流出速率，平滑流量。实现方式可基于 Nginx 限流模块或中间件如 Sentinel。针对用户维度可限制单 IP 或单账号 QPS。超过阈值应返回 429 状态码，并附带重试时间。限流需配合熔断降级策略，当依赖服务不可用时快速失败，防止雪崩效应。配置阈值需基于压测数据，避免误伤正常业务。,限流; 令牌桶; 漏桶; QPS; 熔断
k-08ee97d8d657,后端工程与接口设计,上下文管理,分布式链路追踪上下文,分布式系统中，请求跨越多个微服务，需传递上下文以追踪链路。标准做法是生成全局唯一 TraceID，在每次服务调用时透传。框架如 OpenTelemetry 自动处理上下文传播。日志系统应关联 TraceID，便于排查问题。HTTP 请求头通常命名为 X-Trace-ID 或 Traceparent。避免在上下文中存储敏感数据，防止泄露。异步线程池需手动传递上下文，否则链路断裂。上下文管理不当会导致全链路日志无法聚合，增加故障定位难度，需统一规范传递协议。,TraceID; SpanID; 链路追踪; 传递; 日志
k-5e4fe78c3258,后端工程与接口设计,上下文管理,线程本地变量使用规范,ThreadLocal 用于存储线程隔离数据，如用户信息或数据库连接。使用时必须在 finally 块中调用 remove 方法清理，防止线程池复用导致内存泄漏。Web 容器通常封装了 RequestContextHolder，但需确保请求结束前释放。避免在 ThreadLocal 中存储大对象，增加 GC 压力。多线程环境下，ThreadLocal 变量不可共享，需通过参数传递。若使用异步任务，需手动复制上下文到新线程。规范使用可避免数据错乱，提升系统稳定性，是后端开发的基础实践。,ThreadLocal; 内存泄漏; 清理; 请求上下文; 变量
k-f22014ee358f,后端工程与接口设计,错误处理机制,统一异常处理与响应结构,系统应建立统一异常处理机制，避免异常直接暴露给客户端。全局异常处理器捕获未处理异常，转换为标准错误响应结构。响应体包含错误码、消息及请求 ID。错误码应区分系统级与业务级，便于前端分类处理。敏感堆栈信息仅记录在服务器日志，不返回给客户端。业务异常需记录详细上下文，如参数值、用户 ID，便于排查。自定义异常类继承基类，保持代码整洁。确保所有接口返回格式一致，降低前端解析成本，提升用户体验。,异常捕获; 全局处理器; 错误码; 日志; 用户提示
k-0e50fa53cfd9,后端工程与接口设计,错误处理机制,数据库事务回滚策略,数据库事务保证数据一致性，操作失败需自动回滚。Spring 框架默认在运行时异常时回滚，受检异常不触发。需配置事务传播行为，如 REQUIRED 或 REQUIRES_NEW。分布式事务场景下，需考虑最终一致性，使用补偿机制。回滚点设置应覆盖关键业务逻辑，避免部分数据更新。捕获异常后记录日志，判断是否属于业务逻辑错误。避免在事务中执行耗时网络请求，防止锁持有时间过长。合理设计事务边界，平衡性能与数据可靠性。,事务; 回滚; 传播行为; 异常; 一致性
k-e6281d699f5c,后端工程与接口设计,异步任务,异步任务执行与监控,异步任务用于解耦耗时操作，如发送邮件或生成报表。使用线程池或消息队列执行，避免阻塞主线程。需配置核心线程数与队列容量，防止 OOM。任务执行结果应记录日志，支持状态查询。失败任务需配置重试机制，指数退避策略避免雪崩。监控任务堆积量与执行时长，设置告警阈值。避免异步任务中操作共享资源导致竞争。任务调度应支持手动触发与定时触发，确保业务灵活性。,异步; 线程池; 任务队列; 监控; 重试
k-61f6e51d39e3,后端工程与接口设计,异步任务,消息队列可靠性保障,消息队列是异步任务的核心基础设施。需开启消息持久化，防止服务重启丢失数据。消费者处理成功后发送 ACK，否则消息重回队列。配置死信队列处理失败多次的消息，人工介入排查。保证消息顺序性需指定分区或队列，避免乱序。生产者需确认发送成功，消费者需幂等处理。监控队列积压情况，调整消费者并发度。合理设计 Topic 与 Partition，平衡吞吐与延迟，确保系统高可用。,消息队列; ACK; 持久化; 死信队列; 顺序性
